tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AABB|Asia Broadband Inc Common Stock|OTCN OTC LINK NQB IDQS|OTCN|2841885|155|2025-12-29
OTC|AABB|Asia Broadband Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|144056|6|2025-12-29
OTC|AACTF|AURORA SOLAR TECHNOLOGIES INC  Common Shares|OTCX OTC LINK ECN ATS|OTCX|114941|4|2025-12-29
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|47390|8|2025-12-29
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|17100|6|2025-12-29
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|ARCA GLOBAL OTC|ARCA|17500|3|2025-12-29
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|43199|14|2025-12-29
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|10100|3|2025-12-29
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|83352|318|2025-12-29
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCN OTC LINK NQB IDQS|OTCN|49777|164|2025-12-29
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCX OTC LINK ECN ATS|OTCX|48446|285|2025-12-29
OTC|AAIRF|AMERICAN AIRES INC COM NEW (Canada)|OTCN OTC LINK NQB IDQS|OTCN|400|1|2025-12-29
OTC|AAIRF|AMERICAN AIRES INC COM NEW (Canada)|OTCX OTC LINK ECN ATS|OTCX|1132|3|2025-12-29
OTC|AAUAF|ALMADEN MINERALS LTD COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|8586|13|2025-12-29
OTC|AAUAF|ALMADEN MINERALS LTD COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|2817|7|2025-12-29
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|4199|15|2025-12-29
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCN OTC LINK NQB IDQS|OTCN|189|4|2025-12-29
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|1506|19|2025-12-29
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|ARCA GLOBAL OTC|ARCA|100|1|2025-12-29
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|1600|9|2025-12-29
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCN OTC LINK NQB IDQS|OTCN|2650|5|2025-12-29
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCX OTC LINK ECN ATS|OTCX|35500|16|2025-12-29
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|201644|1413|2025-12-29
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|64904|360|2025-12-29
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|100736|792|2025-12-29
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|ARCA GLOBAL OTC|ARCA|4982|12|2025-12-29
