tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AABB|Asia Broadband Inc Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1833161|69|2025-12-22
OTC|AABB|Asia Broadband Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|33|1|2025-12-22
OTC|AABVF|Aberdeen International Inc Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|25000|2|2025-12-22
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|ARCA GLOBAL OTC|ARCA|10000|31|2025-12-22
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|OTCN OTC LINK NQB IDQS|OTCN|4700|28|2025-12-22
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|OTCX OTC LINK ECN ATS|OTCX|1701|18|2025-12-22
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|ARCA GLOBAL OTC|ARCA|1500|1|2025-12-22
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|38435|14|2025-12-22
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|41800|16|2025-12-22
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|ARCA GLOBAL OTC|ARCA|32000|6|2025-12-22
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|58550|15|2025-12-22
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|9300|7|2025-12-22
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|192555|976|2025-12-22
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCN OTC LINK NQB IDQS|OTCN|63595|188|2025-12-22
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCX OTC LINK ECN ATS|OTCX|63583|419|2025-12-22
OTC|AAGR|AFRICAN AGRICULTURE HLDGS INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|190|2|2025-12-22
OTC|AAGRY|Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia)|OTCN OTC LINK NQB IDQS|OTCN|1100|3|2025-12-22
OTC|AAMCF|Altisource Asset Mgmt Corp|OTCX OTC LINK ECN ATS|OTCX|22|1|2025-12-22
OTC|AAMTF|Armada Mercantile Ltd Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|6000|2|2025-12-22
OTC|AAMTF|Armada Mercantile Ltd Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|6100|2|2025-12-22
OTC|AAPI|Apple iSports Group, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|700|1|2025-12-22
OTC|AATV|Adaptive Ad Systems, Inc. NEW Common Stock|OTCN OTC LINK NQB IDQS|OTCN|3880|1|2025-12-22
OTC|AAUAF|ALMADEN MINERALS LTD COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|25767|6|2025-12-22
OTC|AAUAF|ALMADEN MINERALS LTD COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|127|4|2025-12-22
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|4529|30|2025-12-22
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCN OTC LINK NQB IDQS|OTCN|6508|14|2025-12-22
