# FINRA OTC Transparency Data - NMS Tier 1
# Week Ending: 2026-01-02 (Friday)
# Source: Test Fixture - NORMAL DATA
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
AAPL|NASDAQ|2026-01-02|125000000|45000|25000000|2777.78
AAPL|NYSE|2026-01-02|98000000|32000|19600000|3062.50
AAPL|CBOE|2026-01-02|45000000|18000|9000000|2500.00
AAPL|IEX|2026-01-02|12000000|8000|2400000|1500.00
MSFT|NASDAQ|2026-01-02|85000000|28000|17000000|3035.71
MSFT|NYSE|2026-01-02|67000000|22000|13400000|3045.45
MSFT|CBOE|2026-01-02|34000000|12000|6800000|2833.33
GOOGL|NASDAQ|2026-01-02|42000000|15000|8400000|2800.00
GOOGL|NYSE|2026-01-02|28000000|9000|5600000|3111.11
GOOGL|CBOE|2026-01-02|15000000|5000|3000000|3000.00
TSLA|NASDAQ|2026-01-02|180000000|65000|36000000|2769.23
TSLA|NYSE|2026-01-02|95000000|38000|19000000|2500.00
META|NASDAQ|2026-01-02|52000000|18000|10400000|2888.89
META|NYSE|2026-01-02|38000000|14000|7600000|2714.29
NVDA|NASDAQ|2026-01-02|220000000|72000|44000000|3055.56
NVDA|NYSE|2026-01-02|145000000|48000|29000000|3020.83
