WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2026-01-02|NMS Tier 1|A|ALPX|982|23
2026-01-02|NMS Tier 1|A|BIDS|149689|204
2026-01-02|NMS Tier 1|A|BLUE|577|44
2026-01-02|NMS Tier 1|A|BNPX|48325|861
2026-01-02|NMS Tier 1|A|BOSS|3|1
2026-01-02|NMS Tier 1|A|CGXS|93387|1347
2026-01-02|NMS Tier 1|A|CODA|1835|32
2026-01-02|NMS Tier 1|A|EBXL|277016|8328
2026-01-02|NMS Tier 1|A|IATS|28763|470
2026-01-02|NMS Tier 1|A|ICBX|36210|593
2026-01-02|NMS Tier 1|A|IEOS|9|1
2026-01-02|NMS Tier 1|A|INCR|535086|11231
2026-01-02|NMS Tier 1|A|ITGP|23175|86
2026-01-02|NMS Tier 1|A|JPBX|122069|1724
2026-01-02|NMS Tier 1|A|JPMX|138838|1791
2026-01-02|NMS Tier 1|A|KCGM|62167|887
2026-01-02|NMS Tier 1|A|LATS|78548|947
2026-01-02|NMS Tier 1|A|LQNA|20800|53
2026-01-02|NMS Tier 1|A|LQNT|227000|2
2026-01-02|NMS Tier 1|A|MLIX|195088|2888
2026-01-02|NMS Tier 1|A|MSPL|357600|1342
2026-01-02|NMS Tier 1|A|MSRP|33222|436
2026-01-02|NMS Tier 1|A|MSTX|240213|7451
2026-01-02|NMS Tier 1|A|ONEC|28628|312
2026-01-02|NMS Tier 1|A|PURE|129630|4293
2026-01-02|NMS Tier 1|A|SGMT|398333|8462
2026-01-02|NMS Tier 1|A|STFX|1104|18
2026-01-02|NMS Tier 1|A|UBSA|552309|10326
2026-01-02|NMS Tier 1|A|XSTM|47264|274
2026-01-02|NMS Tier 1|AA|ALPX|5229|70
2026-01-02|NMS Tier 1|AA|BIDS|177638|534
2026-01-02|NMS Tier 1|AA|BLKX|29800|10
2026-01-02|NMS Tier 1|AA|BLUE|14136|272
2026-01-02|NMS Tier 1|AA|BNPX|17884|242
2026-01-02|NMS Tier 1|AA|CGXS|163344|1931
2026-01-02|NMS Tier 1|AA|CODA|2731|36
2026-01-02|NMS Tier 1|AA|EBXL|297403|7897
2026-01-02|NMS Tier 1|AA|IATS|90552|549
2026-01-02|NMS Tier 1|AA|ICBX|71999|1173
2026-01-02|NMS Tier 1|AA|IEOS|156|5
2026-01-02|NMS Tier 1|AA|INCR|942694|11414
2026-01-02|NMS Tier 1|AA|ITGP|45312|207
2026-01-02|NMS Tier 1|AA|JPBX|122575|1449
2026-01-02|NMS Tier 1|AA|JPMX|233590|2637
2026-01-02|NMS Tier 1|AA|KCGM|104571|1168
2026-01-02|NMS Tier 1|AA|LATS|124195|1487
2026-01-02|NMS Tier 1|AA|LQNA|32900|35
2026-01-02|NMS Tier 1|AA|MLIX|253319|2819
2026-01-02|NMS Tier 1|AA|MSPL|360300|1745
2026-01-02|NMS Tier 1|AA|MSRP|19978|376
