WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2025-12-27|NMS Tier 1|A|ALPX|3786|71
2025-12-27|NMS Tier 1|A|BIDS|76343|212
2025-12-27|NMS Tier 1|A|BLKX|811|3
2025-12-27|NMS Tier 1|A|BLUE|1181|38
2025-12-27|NMS Tier 1|A|BNPX|53742|1069
2025-12-27|NMS Tier 1|A|CGXS|124889|2374
2025-12-27|NMS Tier 1|A|CODA|12765|151
2025-12-27|NMS Tier 1|A|EBXL|260210|8300
2025-12-27|NMS Tier 1|A|IATS|15488|298
2025-12-27|NMS Tier 1|A|ICBX|31690|804
2025-12-27|NMS Tier 1|A|IEOS|86|11
2025-12-27|NMS Tier 1|A|INCR|445199|10858
2025-12-27|NMS Tier 1|A|ITGP|14801|162
2025-12-27|NMS Tier 1|A|JPBX|177796|2238
2025-12-27|NMS Tier 1|A|JPMX|145968|2053
2025-12-27|NMS Tier 1|A|KCGM|70434|1047
2025-12-27|NMS Tier 1|A|LATS|93572|1254
2025-12-27|NMS Tier 1|A|LQNA|5200|46
2025-12-27|NMS Tier 1|A|MLIX|204965|2960
2025-12-27|NMS Tier 1|A|MOON|1|1
2025-12-27|NMS Tier 1|A|MSPL|147300|980
2025-12-27|NMS Tier 1|A|MSRP|14434|393
2025-12-27|NMS Tier 1|A|MSTX|222121|6979
2025-12-27|NMS Tier 1|A|ONEC|30648|334
2025-12-27|NMS Tier 1|A|PURE|70648|2882
2025-12-27|NMS Tier 1|A|SGMT|313252|7453
2025-12-27|NMS Tier 1|A|UBSA|444399|9043
2025-12-27|NMS Tier 1|A|XSTM|27872|229
2025-12-27|NMS Tier 1|AA|ALPX|7864|82
2025-12-27|NMS Tier 1|AA|BIDS|376090|1124
2025-12-27|NMS Tier 1|AA|BLKX|64419|10
2025-12-27|NMS Tier 1|AA|BLUE|18025|315
2025-12-27|NMS Tier 1|AA|BNPX|93778|681
2025-12-27|NMS Tier 1|AA|BOSS|58|2
2025-12-27|NMS Tier 1|AA|CGXS|330117|3074
2025-12-27|NMS Tier 1|AA|CODA|2925|44
2025-12-27|NMS Tier 1|AA|EBXL|843737|14532
2025-12-27|NMS Tier 1|AA|IATS|137941|929
2025-12-27|NMS Tier 1|AA|ICBX|373368|2880
2025-12-27|NMS Tier 1|AA|IEOS|659|21
2025-12-27|NMS Tier 1|AA|INCR|1228253|17317
2025-12-27|NMS Tier 1|AA|ITGP|126990|506
2025-12-27|NMS Tier 1|AA|JPBX|309147|3352
2025-12-27|NMS Tier 1|AA|JPMX|389382|3502
2025-12-27|NMS Tier 1|AA|KCGM|186020|1975
2025-12-27|NMS Tier 1|AA|LATS|194582|1929
2025-12-27|NMS Tier 1|AA|LQNA|31200|9
2025-12-27|NMS Tier 1|AA|LQNT|12600|1
2025-12-27|NMS Tier 1|AA|MLIX|602667|6013
2025-12-27|NMS Tier 1|AA|MOON|386|10
2025-12-27|NMS Tier 1|AA|MSPL|457100|2255
2025-12-27|NMS Tier 1|AA|MSRP|15297|378
2025-12-27|NMS Tier 1|AA|MSTX|631160|10908
2025-12-27|NMS Tier 1|AA|ONEC|72094|653
2025-12-27|NMS Tier 1|AA|PURE|468198|6172
2025-12-27|NMS Tier 1|AA|SGMT|692644|10599
2025-12-27|NMS Tier 1|AA|STFX|2653|52
2025-12-27|NMS Tier 1|AA|UBSA|1731021|18817
2025-12-27|NMS Tier 1|AA|XSTM|100492|389
2025-12-27|NMS Tier 1|AAAU|BIDS|5200|10
2025-12-27|NMS Tier 1|AAAU|BLUE|2439|145
2025-12-27|NMS Tier 1|AAAU|BNPX|200|2
2025-12-27|NMS Tier 1|AAAU|BOSS|474|25
2025-12-27|NMS Tier 1|AAAU|CGXS|12405|35
2025-12-27|NMS Tier 1|AAAU|CODA|614|7
2025-12-27|NMS Tier 1|AAAU|EBXL|31354|157
2025-12-27|NMS Tier 1|AAAU|IATS|11207|48
2025-12-27|NMS Tier 1|AAAU|ICBX|11093|30
2025-12-27|NMS Tier 1|AAAU|INCR|80151|419
2025-12-27|NMS Tier 1|AAAU|ITGP|3322|2
2025-12-27|NMS Tier 1|AAAU|JPMX|4238|12
2025-12-27|NMS Tier 1|AAAU|KCGM|32567|123
2025-12-27|NMS Tier 1|AAAU|LATS|12203|34
2025-12-27|NMS Tier 1|AAAU|MLIX|23612|82
2025-12-27|NMS Tier 1|AAAU|MOON|524|18
2025-12-27|NMS Tier 1|AAAU|MSPL|2600|5
2025-12-27|NMS Tier 1|AAAU|ONEC|5310|6
2025-12-27|NMS Tier 1|AAAU|PURE|4900|18
2025-12-27|NMS Tier 1|AAAU|SGMT|35695|128
