WeekEnding|Tier|Symbol|MPID|TotalShares|TotalTrades
2025-12-20|NMS Tier 1|A|ALPX|872|25
2025-12-20|NMS Tier 1|A|BIDS|105851|284
2025-12-20|NMS Tier 1|A|BLKX|100|1
2025-12-20|NMS Tier 1|A|BLUE|376|6
2025-12-20|NMS Tier 1|A|BNPX|41720|800
2025-12-20|NMS Tier 1|A|CGXS|113700|1475
2025-12-20|NMS Tier 1|A|CODA|11090|99
2025-12-20|NMS Tier 1|A|EBXL|268600|7343
2025-12-20|NMS Tier 1|A|IATS|17032|219
2025-12-20|NMS Tier 1|A|ICBX|92865|955
2025-12-20|NMS Tier 1|A|INCR|499358|10586
2025-12-20|NMS Tier 1|A|ITGP|60471|241
2025-12-20|NMS Tier 1|A|JPBX|87906|1589
2025-12-20|NMS Tier 1|A|JPMX|195248|2182
2025-12-20|NMS Tier 1|A|KCGM|94301|1395
2025-12-20|NMS Tier 1|A|LATS|110185|1189
2025-12-20|NMS Tier 1|A|LQNA|26800|142
2025-12-20|NMS Tier 1|A|MLIX|284371|3669
2025-12-20|NMS Tier 1|A|MSPL|161400|1064
2025-12-20|NMS Tier 1|A|MSRP|11317|343
2025-12-20|NMS Tier 1|A|MSTX|203951|6047
2025-12-20|NMS Tier 1|A|ONEC|61046|680
2025-12-20|NMS Tier 1|A|PURE|91878|2804
2025-12-20|NMS Tier 1|A|SGMT|366784|7418
2025-12-20|NMS Tier 1|A|STFX|50|2
2025-12-20|NMS Tier 1|A|UBSA|567750|9905
2025-12-20|NMS Tier 1|A|XSTM|26300|159
2025-12-20|NMS Tier 1|AA|ALPX|21973|224
2025-12-20|NMS Tier 1|AA|BIDS|314552|1057
2025-12-20|NMS Tier 1|AA|BLKX|14421|2
2025-12-20|NMS Tier 1|AA|BLUE|26523|328
2025-12-20|NMS Tier 1|AA|BNPX|31595|749
2025-12-20|NMS Tier 1|AA|BOSS|162|5
2025-12-20|NMS Tier 1|AA|CGXS|156140|1792
2025-12-20|NMS Tier 1|AA|CODA|5927|59
2025-12-20|NMS Tier 1|AA|EBXL|518611|11107
2025-12-20|NMS Tier 1|AA|IATS|191621|1018
2025-12-20|NMS Tier 1|AA|ICBX|135145|1356
2025-12-20|NMS Tier 1|AA|IEOS|176|12
2025-12-20|NMS Tier 1|AA|INCR|1150160|17319
2025-12-20|NMS Tier 1|AA|ITGP|85559|349
2025-12-20|NMS Tier 1|AA|JPBX|140371|1601
2025-12-20|NMS Tier 1|AA|JPMX|355981|3881
2025-12-20|NMS Tier 1|AA|KCGM|175106|1860
2025-12-20|NMS Tier 1|AA|LATS|127322|1541
2025-12-20|NMS Tier 1|AA|LQNA|15300|22
2025-12-20|NMS Tier 1|AA|MLIX|445029|4826
2025-12-20|NMS Tier 1|AA|MOON|794|15
2025-12-20|NMS Tier 1|AA|MSPL|512200|2628
2025-12-20|NMS Tier 1|AA|MSRP|24041|477
2025-12-20|NMS Tier 1|AA|MSTX|453631|6998
2025-12-20|NMS Tier 1|AA|ONEC|36312|452
2025-12-20|NMS Tier 1|AA|PURE|300755|6302
